SKU,DESCRIPTION,DIMENSIONS (W X D X H),WGT,PRICE CND,
BAS-P-TWN-XX,TWIN BASIC BED COMPLETE (P-SERIES),(Bed) 42.4 x 76 x 13.7,73.7,$177.00,
PF-BAS-TWN-XX,Basic Twin Footboard,(Box 1) 15.9 x 45.3 x 2.4,15.4,$37.00,
PF-BAS-TWN-XX,Basic Twin Footboard,(Box 2) 15.9 x 45.3 x 2.4,15.4,$37.00,
KPQ-TWN-XX,Twin Dual Series Rails,(Box 3) 7.7 x78 x 3,22,$65.00,
PS-TWN,Twin Standard Slats,(Box 4) 8.5 x41.3 x  4.5,20.9,$38.00,
,,,,,
BAS-P-FUL-XX,FULL BASIC BED COMPLETE (P-SERIES),(Bed) 57.3 x 76 x 13.7,89.3,$206.00,
PF-BAS-FUL-XX,Basic Full Footboard,(Box 1) 15.9 x 60.6 x  2.4,17.6,$44.00,
PF-BAS-FUL-XX,Basic Full Footboard,(Box 2) 15.9 x 60.6 x 2.4,17.6,$44.00,
KPQ-FUL-XX,Full Dual Series Rails,(Box 3) 7.7 x 78 x 4.5,26.5,$70.00,
PS-FUL,Full Standard Slats,(Box 4) 8.5 x 56.3 x  4.5,27.6,$48.00,
,,,,,
BAS-P-QEN-XX,QUEEN BASIC BED COMPLETE (P-SERIES),(Bed) 63.3 x 80.6 x 13.7,101.4,$223.00,
PF-BAS-QEN-XX,Basic Queen Footboard,(Box 1) 15.9 x 65.9 x  2.4,19.8,$46.00,
PF-BAS-QEN-XX,Basic Queen Footboard,(Box 2) 15.9 x 65.9 x  2.4,19.8,$46.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x 4.5,28.7,$77.00,
PS-QEN,Queen Standard Slats,(Box 4) 8.5 x 62.2 x 4.5,33.1,$54.00,
,,,,,
BAS-P-EKG-XX,EASTERN KING BASIC BED COMPLETE (P-SERIES),(Bed) 79.4 x 80.6 x 13.7,124.5,$255.00,
PF-BAS-EKG-XX,Basic Eastern King Footboard,(Box 1) 15.9 x 84.3 x  2.4,23.1,$55.00,
PF-BAS-EKG-XX,Basic Eastern King Footboard,(Box 2) 15.9 x 84.3 x  2.4,23.1,$55.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,28.7,$77.00,
PS-EKG,Eastern King Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,49.6,$68.00,
,,,,,
BAS-K-TWN-XX,TWIN BASIC BED COMPLETE (K-SERIES),(Bed) 42.4 x 76 x 16.3,73.7,$209.00,
KF-BAS-TWN-XX,K-Series Basic Twin Footboard With Panel,(Box 1) 19.1 x 45.3 x  2,15.4,$53.00,
KF-BAS-TWN-XX,K-Series Basic Twin Footboard With Panel,(Box 2) 19.1 x 45.3 x 2,15.4,$53.00,
KPQ-TWN-XX,Twin Dual Series Rails,(Box 3) 7.7 x78 x 3,22,$65.00,
PS-TWN,Twin Standard Slats,(Box 4) 8.5 x41.3 x  4.5,20.9,$38.00,
,,,,,
BAS-K-FUL-XX,FULL BASIC BED COMPLETE (K-SERIES),(Bed) 57.3 x 76 x 16.3,93.7,$254.00,
KF-BAS-FUL-XX,K-Series Basic Full Footboard With Panel,(Box 1) 19.1 x 60.2 x 2.4,19.8,$68.00,
KF-BAS-FUL-XX,K-Series Basic Full Footboard With Panel,(Box 2) 19.1 x 60.2 x 2.4,19.8,$68.00,
KPQ-FUL-XX,Full Dual Series Rails,(Box 3) 7.7 x 78 x 4.5,26.5,$70.00,
PS-FUL,Full Standard Slats,(Box 4) 8.5 x56.3 x  4.5,27.6,$48.00,
,,,,,
BAS-K-QEN-XX,QUEEN BASIC BED COMPLETE (K-SERIES),(Bed) 63.3 x 80.6 x 16.3,114.8,$277.00,
KF-BAS-QEN-XX,K-Series Basic Queen Footboard With Panel,(Box 1) 19.7 x 66.7 x 2.4,26.5,$73.00,
KF-BAS-QEN-XX,K-Series Basic Queen Footboard With Panel,(Box 2) 19.7 x 66.7 x 2.4,26.5,$73.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x 4.5,28.7,$77.00,
PS-QEN,Queen Standard Slats,(Box 4) 8.5 x 62.2 x 4.5,33.1,$54.00,
,,,,,
BAS-K-EKG-XX,EASTERN KING BASIC BED COMPLETE (K-SERIES),(Bed) 79.4 x 80.6 x 16.3,144.5,$305.00,
KF-BAS-EKG-XX,K-Series Basic EKG Footboard With Panel,(Box 1) 19.1 x 81.7 x 2.4,33.1,$80.00,
KF-BAS-EKG-XX,K-Series Basic EKG Footboard With Panel,(Box 2) 19.1 x 81.7 x 2.4,33.1,$80.00,
