Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Wholesale Furniture Brokers
universel-standard-lateral-file-cabinet-deep-grey,Universel Standard Lateral File Cabinet - Deep Grey,Colour,Deep Grey,,,,,65635-2132,,,20
solay-contemporary-3-piece-set-including-an-l-shaped-desk-a-lateral-file-cabinet-and-a-bookcase,"Solay Contemporary 3-Piece Set Including an L-Shaped Desk, a Lateral File Cabinet and a Bookcase - Available in 2 Colours",Colour,Bark Grey,,,,,29850-47,,,0
solay-contemporary-3-piece-set-including-an-l-shaped-desk-a-lateral-file-cabinet-and-a-bookcase,"Solay Contemporary 3-Piece Set Including an L-Shaped Desk, a Lateral File Cabinet and a Bookcase - Available in 2 Colours",Colour,White,,,,,29850-17,,,0
pro-linea-contemporary-return-table,Pro-Linea Contemporary Return Table - Available in 3 Colours,Colour,Bark Grey,,,,,120810-1147,,,54
pro-linea-contemporary-return-table,Pro-Linea Contemporary Return Table - Available in 3 Colours,Colour,Deep Grey,,,,,120810-1132,,,48
pro-linea-contemporary-return-table,Pro-Linea Contemporary Return Table - Available in 3 Colours,Colour,White,,,,,120810-1117,,,56
pro-concept-plus-desk-hutch-with-frosted-glass-doors-white,Pro-Concept Plus Desk Hutch with Frosted Glass Doors - Available in 2 Colours,Colour,Black,,,,,110523-1118,,,0
pur-36-closet-organizer-storage-unit-in-bark-gray,"Pur 36"" Closet Organizer Storage Unit - Available in 4 Colours",Colour,Rustic Brown,,,,,26160-000009,,,0
universel-30-x-60-standing-desk,Universel 30“ x 60“ Standing Desk - Available in 5 Colours,Colour,Slate,,,,,65867-59,,,0
universel-30-x-60-standing-desk,Universel 30“ x 60“ Standing Desk - Available in 5 Colours,Colour,Bark Grey,,,,,65867-47,,,0
universel-30-x-60-standing-desk,Universel 30“ x 60“ Standing Desk - Available in 5 Colours,Colour,Deep Grey,,,,,65867-32,,,0
universel-30-x-60-standing-desk,Universel 30“ x 60“ Standing Desk - Available in 5 Colours,Colour,Black,,,,,65867-18,,,0
universel-30-x-60-standing-desk,Universel 30“ x 60“ Standing Desk - Available in 5 Colours,Colour,White,,,,,65867-17,,,0
cielo-2-drawer-set-for-cielo-29-5-closet-organizer-bark-grey,Cielo 2-Drawer Set for Cielo 29.5” Closet Organizer - Available in 2 Colours,Colour,Rustic Brown,,,,,80161-000009,,,0
universel-24-x-48-table-desk-with-square-metal-legs,Universel 24“ x 48“ Table Desk with Square Metal Legs - Available in 10 Colours,Colour,Silver Grey,,,,,65855-000042,,,0
cielo-59w-full-murphy-wall-bed,Cielo 59W Full Murphy Wall Bed - Available in 2 Colours,Colour,Rustic Brown & White,,,,,80183-000009,,,0
cielo-59w-full-murphy-wall-bed,Cielo 59W Full Murphy Wall Bed - Available in 2 Colours,Colour,Bark Grey & White,,,,,80183-47,,,0
universel-24-x-48-table-desk-with-square-metal-legs,Universel 24“ x 48“ Table Desk with Square Metal Legs - Available in 10 Colours,Colour,Chocolate,,,,,65855-69,,,0
universel-24-x-48-table-desk-with-square-metal-legs,Universel 24“ x 48“ Table Desk with Square Metal Legs - Available in 10 Colours,Colour,Antigua,,,,,65855-52,,,163
universel-24-x-48-table-desk-with-square-metal-legs,Universel 24“ x 48“ Table Desk with Square Metal Legs - Available in 10 Colours,Colour,Bark Grey,,,,,65855-47,,,223
universel-24-x-48-table-desk-with-square-metal-legs,Universel 24“ x 48“ Table Desk with Square Metal Legs - Available in 10 Colours,Colour,Bordeaux,,,,,65855-39,,,0
universel-24-x-48-table-desk-with-square-metal-legs,Universel 24“ x 48“ Table Desk with Square Metal Legs - Available in 10 Colours,Colour,Northern Maple,,,,,65855-38,,,144
universel-24-x-48-table-desk-with-square-metal-legs,Universel 24“ x 48“ Table Desk with Square Metal Legs - Available in 10 Colours,Colour,Deep Grey,,,,,65855-32,,,32
universel-24-x-48-table-desk-with-square-metal-legs,Universel 24“ x 48“ Table Desk with Square Metal Legs - Available in 10 Colours,Colour,White Chocolate,,,,,65855-31,,,12
universel-24-x-48-table-desk-with-square-metal-legs,Universel 24“ x 48“ Table Desk with Square Metal Legs - Available in 10 Colours,Colour,Black,,,,,65855-18,,,31
universel-24-x-48-table-desk-with-square-metal-legs,Universel 24“ x 48“ Table Desk with Square Metal Legs - Available in 10 Colours,Colour,White,,,,,65855-17,,,119
cielo-2-drawer-set-for-cielo-29-5-closet-organizer-bark-grey,Cielo 2-Drawer Set for Cielo 29.5” Closet Organizer - Available in 2 Colours,Colour,Bark Grey,,,,,80161-2147,,,0
versatile-low-storage-unit-with-rod,Versatile Low Storage Unit With Rod - Available in 2 Colours,Colour,White,,,,,40166-1117,,,-50
