Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Wholesale Furniture Brokers
70-mid-century-modern-tv-stand-slate-grey,"70"" Mid Century Modern TV Stand - Slate Grey",Colour,Slate Grey,,,,,W70NORSG,,,0
70-tiered-top-open-shelf-fireplace-tv-console,"70"" Tiered Top Open Shelf Fireplace TV Console - Available in 3 Colours",Colour,Slate Grey,,,,,W70FPTTOPSG,,,1
70-tiered-top-open-shelf-fireplace-tv-console,"70"" Tiered Top Open Shelf Fireplace TV Console - Available in 3 Colours",Colour,Reclaimed Barnwood,,,,,W70FPTTOPRO,,,1
70-tiered-top-open-shelf-fireplace-tv-console,"70"" Tiered Top Open Shelf Fireplace TV Console - Available in 3 Colours",Colour,Dark Walnut,,,,,W70FPTTOPDW,,,0
70-traditional-wood-tv-stand-espresso,"70"" Traditional Wood TV Stand - Espresso",Colour,Espresso,,,,,W70C32ES,,,0
60-classic-tiered-top-fireplace-tv-console,"60"" Classic Tiered Top Fireplace TV Console - Available in 2 Colours",Colour,Slate Grey,,,,,W60FPTTSG,,,1
60-classic-tiered-top-fireplace-tv-console,"60"" Classic Tiered Top Fireplace TV Console - Available in 2 Colours",Colour,Dark Walnut,,,,,W60FPTTDW,,,0
60-mid-century-modern-wood-tv-stand,"60"" Mid Century Modern Wood TV Stand - Available in 2 Colours",Colour,Walnut,,,,,W60CMCWT,,,1
60-mid-century-modern-wood-tv-stand,"60"" Mid Century Modern Wood TV Stand - Available in 2 Colours",Colour,Acorn,,,,,W60CMCAC,,,0
58-modern-farmhouse-wood-tv-stand-white-oak,"58"" Modern Farmhouse Wood TV Stand - White Oak",Colour,White Oak,,,,,W58SBDWO,,,0
58-transitional-fireplace-glass-wood-tv-stand-grey-wash,"58"" Transitional Fireplace Glass Wood TV Stand - Grey Wash",Colour,Grey Wash,,,,,W58FP18HBGW,,,0
